id,name,address_type,parent_id,created_at,updated_at
296,Phường 12,2,293,2020-02-10 18:31:07.393,
297,Phường 13,2,293,2020-02-10 18:31:07.393,
298,Phường 14,2,293,2020-02-10 18:31:07.393,
299,Phường 15,2,293,2020-02-10 18:31:07.393,
300,Phường 2,2,293,2020-02-10 18:31:07.393,
301,Phường 7,2,293,2020-02-10 18:31:07.393,
302,Phường 8,2,293,2020-02-10 18:31:07.393,
303,Phường 9,2,293,2020-02-10 18:31:07.393,
304,Phường 11,2,293,2020-02-10 18:31:07.393,
305,Phường 5,2,293,2020-02-10 18:31:07.393,
306,Phường 6,2,293,2020-02-10 18:31:07.393,
307,Phường 3,2,293,2020-02-10 18:31:07.393,
308,Phường 4,2,293,2020-02-10 18:31:07.393,
309,Quận Bình Thạnh,1,,2020-02-10 18:31:07.393,
310,Phường 1,2,309,2020-02-10 18:31:07.393,
311,Phường 12,2,309,2020-02-10 18:31:07.393,
312,Phường 13,2,309,2020-02-10 18:31:07.393,
313,Phường 14,2,309,2020-02-10 18:31:07.393,
314,Phường 15,2,309,2020-02-10 18:31:07.393,
315,Phường 17,2,309,2020-02-10 18:31:07.393,
316,Phường 2,2,309,2020-02-10 18:31:07.393,
317,Phường 21,2,309,2020-02-10 18:31:07.393,
318,Phường 22,2,309,2020-02-10 18:31:07.393,
319,Phường 24,2,309,2020-02-10 18:31:07.393,
320,Phường 25,2,309,2020-02-10 18:31:07.393,
321,Phường 26,2,309,2020-02-10 18:31:07.393,
322,Phường 28,2,309,2020-02-10 18:31:07.393,
323,Phường 3,2,309,2020-02-10 18:31:07.393,
324,Phường 5,2,309,2020-02-10 18:31:07.393,
325,Phường 6,2,309,2020-02-10 18:31:07.393,
326,Phường 7,2,309,2020-02-10 18:31:07.393,
327,Phường 11,2,309,2020-02-10 18:31:07.393,
328,Phường 19,2,309,2020-02-10 18:31:07.393,
329,Phường 27,2,309,2020-02-10 18:31:07.393,
330,Huyện Bình Chánh,1,,2020-02-10 18:31:07.393,
331,Thị trấn Tân Túc,2,330,2020-02-10 18:31:07.393,
332,Xã An Phú Tây,2,330,2020-02-10 18:31:07.393,
333,Xã Bình Chánh,2,330,2020-02-10 18:31:07.393,
334,Xã Bình Hưng,2,330,2020-02-10 18:31:07.393,
335,Xã Bình Lợi,2,330,2020-02-10 18:31:07.393,
336,Xã Hưng Long,2,330,2020-02-10 18:31:07.393,
337,Xã Lê Minh Xuân,2,330,2020-02-10 18:31:07.393,
338,Xã Phạm Văn Hai,2,330,2020-02-10 18:31:07.393,
339,Xã Phong Phú,2,330,2020-02-10 18:31:07.393,
340,Xã Quy Đức,2,330,2020-02-10 18:31:07.393,
341,Xã Tân Kiên,2,330,2020-02-10 18:31:07.393,
342,Xã Tân Quý Tây,2,330,2020-02-10 18:31:07.393,
343,Xã Vĩnh Lộc A,2,330,2020-02-10 18:31:07.393,
344,Xã Vĩnh Lộc B,2,330,2020-02-10 18:31:07.393,
345,Xã Đa Phước,2,330,2020-02-10 18:31:07.393,
346,Xã Tân Nhựt,2,330,2020-02-10 18:31:07.393,
